,coin_name,price,market_cap,volume,supply
0,BitcoinBTC,"$62,905.41","$1,243,704,015,355","$51,268,409,394","19,756,159 BTC"
1,EthereumETH,"$2,426.96","$292,364,223,061","$21,887,854,253","120,345,066 ETH"
2,TetherUSDT,$1.00,"$118,915,443,203","$78,514,929,223","118,891,598,050 USDT"
3,BNBBNB,$564.26,"$82,344,326,373","$1,950,074,635","145,933,777 BNB"
4,SolanaSOL,$140.88,"$66,000,420,027","$3,234,581,132","468,486,539 SOL"
5,USDCUSDC,$1.00,"$35,465,060,659","$8,643,463,514","35,463,854,238 USDC"
6,XRPXRP,$0.5889,"$33,206,908,512","$1,358,241,288","56,386,022,594 XRP"
7,DogecoinDOGE,$0.1049,"$15,322,221,405","$716,999,619","146,022,136,384 DOGE"
8,ToncoinTON,$5.73,"$14,508,992,316","$328,303,943","2,532,594,743 TON"
9,TRONTRX,$0.1512,"$13,106,971,542","$325,073,733","86,677,648,627 TRX"
10,CardanoADA,$0.3524,"$12,673,367,622","$336,546,579","35,960,643,044 ADA"
11,AvalancheAVAX,$26.19,"$10,633,211,905","$473,823,054","405,927,677 AVAX"
12,Shiba InuSHIB,$0.00001424,"$8,393,876,147","$267,145,858","589,269,506,655,882 SHIB"
13,ChainlinkLINK,$11.23,"$6,826,581,030","$295,259,385","608,099,970 LINK"
14,Bitcoin CashBCH,$339.89,"$6,717,243,802","$390,444,924","19,762,984 BCH"
15,PolkadotDOT,$4.24,"$6,344,822,547","$169,073,881","1,495,164,679 DOT"
16,DaiDAI,$1.00,"$5,366,204,525","$92,662,462","5,365,382,703 DAI"
17,UNUS SED LEOLEO,$5.67,"$5,249,622,450","$3,820,315","925,429,992 LEO"
18,NEAR ProtocolNEAR,$4.46,"$5,048,402,634","$497,069,256","1,131,078,754 NEAR"
19,LitecoinLTC,$65.13,"$4,884,287,014","$350,020,368","74,991,644 LTC"
20,KaspaKAS,$0.1733,"$4,287,825,999","$84,673,156","24,736,807,955 KAS"
21,UniswapUNI,$6.79,"$4,074,895,791","$152,742,615","600,210,150 UNI"
22,Artificial Superintelligence AllianceFET,$1.52,"$3,830,186,567","$464,563,448","2,520,000,000 FET"
23,Internet ComputerICP,$8.09,"$3,808,438,774","$108,258,230","470,952,002 ICP"
24,SuiSUI,$1.33,"$3,562,758,776","$915,097,082","2,679,963,750 SUI"
25,PepePEPE,$0.057937,"$3,338,936,022","$838,197,466","420,689,899,999,995 PEPE"
26,AptosAPT,$6.62,"$3,309,127,863","$179,822,579","500,080,578 APT"
27,MoneroXMR,$174.47,"$3,218,384,167","$73,013,932","18,446,744 XMR"
28,First Digital USDFDUSD,$0.9997,"$2,920,482,780","$6,713,757,354","2,921,466,578 FDUSD"
29,POL (ex-MATIC)POL,$0.3979,"$2,888,564,249","$65,711,758","7,259,493,291 POL"
30,StellarXLM,$0.09575,"$2,831,691,076","$62,699,645","29,575,289,861 XLM"
31,Ethereum ClassicETC,$18.63,"$2,771,974,651","$132,692,096","148,802,907 ETC"
32,BittensorTAO,$368.78,"$2,721,969,958","$185,930,779","7,380,936 TAO"
33,RenderRENDER,$5.17,"$2,676,453,887","$340,922,907","517,460,631 RENDER"
34,StacksSTX,$1.70,"$2,535,085,727","$152,099,757","1,489,795,834 STX"
35,OKBOKB,$40.00,"$2,399,967,102","$4,161,143","60,000,000 OKB"
36,ImmutableIMX,$1.47,"$2,362,136,279","$66,144,646","1,605,299,431 IMX"
37,AaveAAVE,$149.14,"$2,227,111,834","$251,548,428","14,932,537 AAVE"
38,CronosCRO,$0.08283,"$2,201,040,960","$6,457,028","26,571,560,696 CRO"
39,FilecoinFIL,$3.69,"$2,161,736,174","$136,053,146","586,461,650 FIL"
40,ArbitrumARB,$0.5594,"$2,023,355,450","$233,441,508","3,617,088,312 ARB"
41,InjectiveINJ,$20.55,"$2,007,944,522","$132,202,219","97,697,857 INJ"
42,MantleMNT,$0.5919,"$1,933,630,517","$105,588,410","3,266,841,708 MNT"
43,HederaHBAR,$0.05198,"$1,924,037,496","$54,411,790","37,013,466,165 HBAR"
44,OptimismOP,$1.58,"$1,873,644,455","$143,217,833","1,187,596,466 OP"
45,VeChainVET,$0.02238,"$1,812,256,242","$22,221,533","80,985,041,177 VET"
46,FantomFTM,$0.637,"$1,785,789,465","$404,094,648","2,803,634,836 FTM"
47,CosmosATOM,$4.51,"$1,762,231,096","$162,697,501","390,934,204 ATOM"
48,dogwifhatWIF,$1.72,"$1,722,345,134","$497,224,399","998,845,511 WIF"
49,THORChainRUNE,$4.56,"$1,529,525,646","$221,093,496","335,593,609 RUNE"
50,The GraphGRT,$0.155,"$1,480,132,777","$55,271,569","9,548,531,509 GRT"
51,Theta NetworkTHETA,$1.40,"$1,400,824,154","$25,028,899","1,000,000,000 THETA"
52,MakerMKR,"$1,544.92","$1,364,174,248","$59,156,178","883,008 MKR"
53,ArweaveAR,$20.34,"$1,335,381,945","$66,231,267","65,652,466 AR"
54,CelestiaTIA,$6.21,"$1,317,244,068","$334,034,929","212,057,226 TIA"
55,Bitget TokenBGB,$0.9353,"$1,309,426,283","$29,438,884","1,400,000,000 BGB"
56,FLOKIFLOKI,$0.0001341,"$1,286,338,637","$235,164,712","9,591,031,185,394 FLOKI"
57,BonkBONK,$0.00001752,"$1,235,174,146","$137,870,318","70,507,042,294,105 BONK"
58,PolygonMATIC,$0.3976,"$1,192,653,600","$41,064,394","2,999,660,164 MATIC"
59,SeiSEI,$0.3353,"$1,182,059,551","$278,777,884","3,524,861,111 SEI"
60,HeliumHNT,$7.19,"$1,156,416,413","$22,862,149","160,875,442 HNT"
61,Pyth NetworkPYTH,$0.3145,"$1,139,896,727","$51,014,561","3,624,988,786 PYTH"
62,JupiterJUP,$0.8059,"$1,088,028,715","$99,330,721","1,350,000,000 JUP"
63,AlgorandALGO,$0.1315,"$1,085,388,413","$32,847,846","8,252,087,339 ALGO"
64,JasmyCoinJASMY,$0.02085,"$1,028,053,339","$79,853,354","49,299,999,677 JASMY"
65,Bitcoin SVBSV,$48.48,"$957,811,333","$37,951,846","19,758,734 BSV"
66,Lido DAOLDO,$1.04,"$932,690,890","$85,425,907","895,274,521 LDO"
67,MANTRAOM,$1.10,"$929,277,667","$21,840,450","842,499,555 OM"
68,OndoONDO,$0.6535,"$908,174,344","$432,539,446","1,389,759,838 ONDO"
69,CoreCORE,$0.9857,"$897,421,847","$43,658,274","910,476,050 CORE"
70,QuantQNT,$73.84,"$891,510,892","$14,217,915","12,072,738 QNT"
71,Popcat (SOL)POPCAT,$0.9009,"$882,894,838","$202,885,124","979,973,185 POPCAT"
72,KuCoin TokenKCS,$7.44,"$877,312,040","$3,013,917","117,906,971 KCS"
73,FlowFLOW,$0.5666,"$868,638,635","$30,434,842","1,533,206,949 FLOW"
74,BitTorrent [New]BTT,$0.068949,"$866,465,469","$25,058,193","968,246,428,571,000 BTT"
75,BeamBEAM,$0.01707,"$844,468,100","$27,373,291","49,466,004,168 BEAM"
76,Brett (Based)BRETT,$0.08227,"$815,328,748","$26,334,198","9,910,236,395 BRETT"
77,NotcoinNOT,$0.007774,"$796,675,232","$156,499,583","102,474,422,639 NOT"
78,Nervos NetworkCKB,$0.01765,"$793,846,243","$304,234,866","44,965,946,305 CKB"
79,EOSEOS,$0.5027,"$761,953,445","$83,065,983","1,515,647,664 EOS"
80,GateTokenGT,$8.32,"$757,370,320","$1,805,434","90,988,266 GT"
81,MultiversXEGLD,$27.39,"$748,814,463","$19,690,363","27,334,026 EGLD"
82,Axie InfinityAXS,$4.91,"$735,438,338","$24,020,930","149,829,454 AXS"
83,FlareFLR,$0.01515,"$733,178,555","$4,944,369","48,380,207,166 FLR"
84,USDDUSDD,$0.9983,"$731,391,949","$3,222,671","732,609,033 USDD"
85,WorldcoinWLD,$1.62,"$733,453,892","$159,939,030","451,268,226 WLD"
86,PayPal USDPYUSD,$0.9995,"$721,837,847","$42,071,053","722,178,585 PYUSD"
87,StarknetSTRK,$0.3965,"$705,628,201","$77,959,991","1,779,797,783 STRK"
88,NeoNEO,$9.70,"$683,882,473","$28,894,954","70,538,831 NEO"
89,TezosXTZ,$0.6744,"$675,129,510","$15,478,135","1,001,111,865 XTZ"
90,ORDIORDI,$32.16,"$675,302,265","$169,056,387","21,000,000 ORDI"
91,GalaGALA,$0.01926,"$668,030,719","$93,607,976","34,687,354,668 GALA"
92,Akash NetworkAKT,$2.67,"$663,022,829","$20,017,248","248,285,795 AKT"
93,ConfluxCFX,$0.1483,"$657,155,796","$30,551,975","4,432,044,372 CFX"
94,eCashXEC,$0.00003241,"$640,389,132","$13,289,320","19,759,010,923,090 XEC"
95,Tether GoldXAUt,"$2,582.48","$636,643,647","$3,882,955","246,524 XAUt"
96,The SandboxSAND,$0.2668,"$623,336,232","$54,033,650","2,336,232,126 SAND"
97,SATS1000SATS,$0.0002957,"$621,039,428","$158,241,701","2,100,000,000,000 1000SATS"
98,dYdX (Native)DYDX,$0.9458,"$601,468,087","$37,744,333","635,917,433 DYDX"
99,WormholeW,$0.2329,"$600,349,712","$51,150,750","2,577,873,594 W"
100,Ethereum Name ServiceENS,$17.70,"$585,409,715","$72,107,887","33,065,239 ENS"
101,NexoNEXO,$1.01,"$564,087,039","$5,152,903","560,000,011 NEXO"
102,BinaryXBNX,$1.49,"$557,860,430","$12,161,866","373,881,030 BNX"
103,DecentralandMANA,$0.2908,"$554,853,924","$36,482,445","1,908,319,865 MANA"
104,RoninRON,$1.57,"$546,981,181","$9,543,084","348,947,733 RON"
105,PendlePENDLE,$3.43,"$543,892,826","$84,803,857","158,462,547 PENDLE"
106,MinaMINA,$0.4657,"$539,833,235","$34,769,972","1,159,127,207 MINA"
107,ZcashZEC,$31.46,"$513,691,077","$70,156,477","16,328,269 ZEC"
108,KlaytnKLAY,$0.1347,"$512,248,611","$12,947,511","3,803,678,792 KLAY"
109,ChilizCHZ,$0.05551,"$504,387,176","$33,330,259","9,085,685,432 CHZ"
110,DOGSDOGS,$0.0009702,"$501,339,786","$276,968,289","516,750,000,000 DOGS"
111,TrueUSDTUSD,$0.9989,"$495,070,429","$36,562,685","495,601,553 TUSD"
112,AIOZ NetworkAIOZ,$0.44,"$494,134,014","$7,226,711","1,123,015,886 AIOZ"
113,PAX GoldPAXG,"$2,584.43","$490,848,419","$15,905,459","189,925 PAXG"
114,Terra ClassicLUNC,$0.00008583,"$489,521,026","$20,155,421","5,703,588,849,749 LUNC"
115,PancakeSwapCAKE,$1.82,"$486,422,113","$28,505,163","267,316,473 CAKE"
116,SynthetixSNX,$1.48,"$486,013,196","$21,150,208","327,769,196 SNX"
117,DeXeDEXE,$8.42,"$480,733,728","$1,857,705","57,103,248 DEXE"
118,ApeCoinAPE,$0.7897,"$477,687,487","$60,165,722","604,895,833 APE"
119,LayerZeroZRO,$4.32,"$474,685,963","$193,864,388","110,000,000 ZRO"
120,EthenaENA,$0.2467,"$469,056,766","$67,293,760","1,901,562,500 ENA"
121,LivepeerLPT,$13.41,"$464,156,710","$23,254,118","34,623,920 LPT"
122,AstarASTR,$0.06453,"$463,796,874","$37,196,395","7,186,901,122 ASTR"
123,BOOK OF MEMEBOME,$0.006722,"$463,539,103","$153,774,184","68,961,762,701 BOME"
124,cat in a dogs worldMEW,$0.005131,"$456,087,413","$224,814,526","88,888,888,888 MEW"
125,IOTAIOTA,$0.1322,"$454,924,295","$9,473,293","3,440,020,224 IOTA"
126,zkSyncZK,$0.1225,"$450,036,577","$65,144,402","3,675,000,000 ZK"
127,OasisROSE,$0.06353,"$448,783,592","$23,902,843","7,064,132,681 ROSE"
128,SuperVerseSUPER,$0.9134,"$445,725,388","$51,558,580","487,976,093 SUPER"
129,AxelarAXL,$0.5613,"$441,579,898","$15,592,327","786,669,914 AXL"
130,FTX TokenFTT,$1.33,"$436,955,096","$9,610,718","328,895,104 FTT"
131,Mog CoinMOG,$0.051176,"$424,014,206","$33,127,182","360,447,686,344,656 MOG"
132,KavaKAVA,$0.3905,"$422,874,432","$169,507,993","1,082,854,736 KAVA"
133,XDC NetworkXDC,$0.02821,"$421,036,753","$3,983,756","14,925,295,691 XDC"
134,RaydiumRAY,$1.57,"$415,172,225","$16,738,470","263,783,501 RAY"
135,APENFTNFT,$0.06415,"$414,974,048","$26,492,700","999,990,000,000,000 NFT"
136,Theta FuelTFUEL,$0.0618,"$413,178,502","$10,245,262","6,685,736,881 TFUEL"
137,GnosisGNO,$156.48,"$405,223,969","$3,487,048","2,589,588 GNO"
138,Bitcoin GoldBTG,$22.93,"$401,547,249","$5,277,560","17,513,924 BTG"
139,MX TokenMX,$3.98,"$388,469,425","$26,125,779","97,699,334 MX"
140,CompoundCOMP,$44.12,"$387,529,315","$22,378,229","8,783,005 COMP"
141,BlurBLUR,$0.2041,"$384,495,117","$112,243,278","1,883,700,729 BLUR"
142,DymensionDYM,$1.89,"$384,204,556","$41,803,214","203,494,120 DYM"
143,IoTeXIOTX,$0.03946,"$372,574,511","$21,889,500","9,441,372,454 IOTX"
144,WEMIXWEMIX,$0.9042,"$371,392,322","$2,133,587","410,734,583 WEMIX"
145,SafePalSFP,$0.75,"$365,632,586","$5,993,599","487,500,000 SFP"
146,OsmosisOSMO,$0.5246,"$358,626,314","$13,207,287","683,556,426 OSMO"
147,Reserve RightsRSR,$0.006656,"$342,381,763","$34,162,726","51,438,764,433 RSR"
148,1inch Network1INCH,$0.2695,"$342,349,673","$44,184,307","1,270,402,833 1INCH"
149,SafeSAFE,$0.7342,"$340,503,766","$9,575,564","463,757,969 SAFE"
